no	author	pseudonym	title	subtitle	source	city	year	number_of_periodical_pagination	editions	narration	setting	region	location	protagonist_gender	protagonist_name_male	protagonist_name_female
136	Михайлов, Михаил Ларионович		Ау	рассказ	Библиотека для чтения		1855	Т. 132. No 8. Отд. I. С. 124–144		3л	деревня	Великороссия		жен	Ефим	Марина
137	Новиков, Евгений Петрович	Данковский Е.	Поездка в деревню		Отечественные записки		1855	Т. 100. No 6. Отд. I. С. 193–274.		3л	деревня	Великороссия	Тамбовская губерния	муж	Нил	Параша
138	Новиков, Евгений Петрович	Данковский Е.	Горбун	повесть из простонародного быта	Отечественные записки		1855	Т. 99. No 3. Отд. I. С. 7–130		3л (суб-авт)	имение	Великороссия		муж	Феклиска	Маша
139	Писемский, Алексей Феофилактович		Плотничья артель	рассказ	Отечественные записки		1855	Т. 102. No 9. Отд. I. С. 1–54.	Очерки из крестьянского быта. СПб., 1856	1л	имение	Великороссия		муж	Петр	Федосья
140	Григорович, Дмитрий Васильевич		Переселенцы	роман из простонародного быта	Отечественные записки		1855	Т. 103. No 11. Отд. I. С. 1–48; No 12. Отд. I. С. 331–392; 1856. No 4. Отд. I. С. 301– 382; No 5. Отд. I. С. 25–54; No 6. Отд. I. 283–360; No 7. С. 25–100; No 8. Словесность, науки и художества. С. 351–418.		3л	имение	Великороссия		муж	Лапша	Катерина
141	Тургенев, Иван Сергеевич		Постоялый двор	повесть	Современник		1855	No 11. Отд. 1. С. 1–49.		3л	постоялый двор	Великороссия		муж	Аким	Авдотья
142	Афанасьев-Чужбинский, Александр Степанович		Мельница близ села Ворошилова	простонародный рассказ дяди Афанасия	отд. изд.	Санкт-Петербург	1856			3л (суб-авт)	деревня	Великороссия		муж	Иван Терентьевич	Малаша
143	Григорович, Дмитрий Васильевич		Пахарь	повесть	Современник		1856	No 3. Отд. I. С. 7–48.		1л	деревня	Великороссия		муж	Анисимыч	нет
144	Даль, Владимир Иванович		Грех	картины из русского быта	Современник		1856	No 9. С. 23–30.		3л	деревня	Великороссия		муж	Осип	нет
145	Даль, Владимир Иванович		Ракита	картины из русского быта	Современник		1856	No 9. Отд. 1. С. 81–86		3л	деревня	Великороссия	Орловская губерния	муж	Филипп	нет
